2026-05-24 12:03:18 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:03:33 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:03:35 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:03:35 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:03:50 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:03:52 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:03:52 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:04:07 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:04:09 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:04:09 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:04:24 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:04:26 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:04:26 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:04:41 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:04:44 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:04:44 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:04:59 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:05:01 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:05:01 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:05:16 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:05:18 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:05:18 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:05:33 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:05:35 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:05:35 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:05:50 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:05:52 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:05:52 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:06:07 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:06:10 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:06:10 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:06:25 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:06:27 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:06:27 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:06:42 | INFO     | metrics_exporter | Metrics synced from local files.
